	query	news	relevance
0	敏感舆情	下周逼空大涨，你们记住这是我第一个说的，本周的跌幅下周会全部收回。	0.0
1	敏感舆情	你说她爱干净吧,她用毛巾擦…你说她邋遢吧,她用毛巾擦…	0.0
2	敏感舆情	公安交管部门严管严查公路突出违法行为	1.0
3	敏感舆情	每个环节都要追责，别只拍苍蝇啊	1.0
4	敏感舆情	商户利益受损、品牌声誉下降、虚耗司法资源、可能引发其他组织和个人仿效等情况，令舆情风险显著	1.0
5	敏感舆情	相关负责人的回应与网民的猜测存在偏差，且有违法律常识，给网民一种不负责任之感，暴露相关部门公职人员纪法意识淡薄、舆情危机应对能力不足	1.0
6	敏感舆情	“风会永远记得我爱你，心也是” ​	0.0
7	敏感舆情	很多事情都很糟糕，但人间有人间的好。	0.0
8	敏感舆情	《人世间》孙赶超下线了 感谢大家 感谢导演 ​	0.0
9	敏感舆情	封丘政府给的说明不负责任，什么招标过程未发现问题。这个企业当时叫从业资格证都没有就能参加招标，你告诉我这叫没问题	1.0
10	敏感舆情	光抓食堂的人真是治标不治本，有权有势的政客还是为所欲为，从根上打击恶势力，取得效果才能服众	1.0
11	敏感舆情	她建议完善政策制度，激励带动更多企业优先录用、按比例招录、提供实习或定向培养低收入家庭的学生。	0.0
12	敏感舆情	俄罗斯全部上市公司总市值仅剩1.2万亿元了，大概相当于年盈利额为56亿的宁德时代的市值，恒大欠的钱都比这多7000亿。	0.0
13	敏感舆情	我发现北京冬奥会、冬残奥会的官方网站太强大了，网页上实时更新比赛数据。	0.0
14	敏感舆情	21 岁女孩晨跑后公园爬山失踪	1.0
15	敏感舆情	此表示同情惋惜外，有网民对女性安全产生担忧，恐慌情绪蔓延，如“这也太不安全了吧”“没想到离我家那么近 以后也不敢去爬山了”等	1.0
16	敏感舆情	很多人关心的背后的问题还应该有全面的调查来回复，比如：这家公司是怎么中的标？为什么在无证的情况下能中标？之前的餐暴露出来问题，为什么没有及时得到解决？	1.0
17	敏感舆情	学校出了这种事，作为学校主要负责人餐食馊了没察觉，没制止，第一反应是哭，转移矛盾，回避责任	1.0
18	敏感舆情	陶某及妻子能某英拒不配合调查，还辱骂出警人员。陶某用水泥块将民警余某头部砸伤，又手持钢钎冲向余某。	1.0
19	敏感舆情	睁眼说瞎话吧，招投标没有发现任何问题？事发第二天才拿到食品经营许可证，之前怎么中的标？	1.0
20	敏感舆情	黑色玫瑰发来贺电！恭贺阿姨步入荣耀黄金大成境界！	0.0
21	敏感舆情	大概热度过了，这校长要被自动离职了	1.0
22	敏感舆情	“浪胃仙”弃3500万账号，另起炉灶从0开始？到底怎么回事？	0.0
23	敏感舆情	在北京冬残奥会越野滑雪男子18公里（坐姿组）比赛中，中国队选手郑鹏以43分09秒2的成绩夺得金牌，毛忠武以43分23秒8的成绩获得银牌，杜天以47分44秒1的成绩获得第4名。	0.0
24	敏感舆情	雪容融背书包上班，还向司机鞠躬感谢，好乖的容融宝贝	0.0
25	敏感舆情	但问题就是虽然没有什么问题，但大概是民事赔偿是逃不掉了，正如正当防卫不负刑事责任，但民事责任跑不掉我就奇了怪了，别人要杀我，我不得反抗一下，反抗导致对方受伤或者死亡还要我赔钱这是个什么道理啊	1.0
26	敏感舆情	还有很多问题待解答，涉事公司的实控人是谁？教育局招标流程有没有问题？有没有人施压教育局？教育局有可能也是背锅侠吗？为什么一家北京公司到河南招标，而且只有这一个分公司？	1.0
27	敏感舆情	弃养和虐杀，哪种行为更具有危害性还不一定呢？我是不是可以联想一下，这些弃养的人，以后可能会弃养自己小孩？甚至背叛国家？	1.0
28	敏感舆情	三部门：禁止法官检察官与律师不正当接触	1.0
29	敏感舆情	现在把锂叫做白色石油，但是他和石油有着根本的区别，就是可循环。未来有一天，国内汽车总量将达到饱和，也就是不再增长，每年销售的新车和淘汰的旧车达到一个平衡。按照中国现在汽车保有量大约3亿来计算，每年消耗汽油1.5亿吨左右。	0.0
30	敏感舆情	懒政，特别是市场监督局都是等事件发酵了才出来	1.0
31	敏感舆情	那要不要通过这次事件，进行全国学校食堂餐的一次大排查？	1.0
32	敏感舆情	明确18岁以下未成年人玩游戏的时间每天只能有1小时，且只能在周末。但有的留守儿童使用长辈的身份证注册游戏账号，规定形同虚设。	0.0
33	敏感舆情	熊猫树，四川特色树种 ​	0.0
34	敏感舆情	院方说冰淇淋就是力量，逼着消化系统相信那句，摧毁不了你的，终将使你强大。	0.0
35	敏感舆情	分网民表示希望涉事女孩平安，还有网民猜测女孩失联原因或为遇害。	1.0
36	敏感舆情	应对机制有问题。学校应该是食品卫生第一责任单位，校长是第一责任人，因此，校长应该有权第一时间作出停止配送的处理决定	1.0
37	敏感舆情	时王者荣耀游戏内战队星元开启了投票，进入游戏和我一起为AG星元来一票！	0.0
38	敏感舆情	笑死，连合法都做不到还谈合情吗	1.0
39	敏感舆情	你以为的小男孩，在局内壮得像个傻大个儿	0.0
40	敏感舆情	长期看工银去券商我觉得是好事，券商是历史最低价附近，以它的业绩总有时候突然爆发一波就够了。	0.0
41	敏感舆情	同类问题多发引反思 制度漏洞、监管不力受追问	1.0
42	敏感舆情	体验服烈娜塔W现状，腕豪复活后就不倒下，丝血战神？	0.0
43	敏感舆情	我觉得你的想法有问题，我没看到视频，如果真的像你视频了披露的那样，我觉得直接击毙是没有任何问题的	1.0
44	敏感舆情	一名出警民警被村民打伤后，警告无效后开枪击伤试图继续攻击民警的村民…… 红星新闻记者了解到，涉事村民陶某腿部中枪，经送医抢救无效死亡。	1.0
45	敏感舆情	其实国内已经比香港松了香港压根没有打腿的说法直接朝躯干打的。	1.0
46	敏感舆情	希望通过这次阳光营养餐事件，对全国学校食堂餐的一次大的排查，为全国的学生就餐提供更安全的安全保障	1.0
47	敏感舆情	这么可爱的雪容融，你心动了吗？	0.0
48	敏感舆情	黄昏的人民大会堂有另一番风味 ​	0.0
49	敏感舆情	哪有人能一直赢下去呢 赢这个东西要看天时地利人和	0.0
50	敏感舆情	涉事公司是否涉嫌贿赂？教育局招标流程是否合规合法，是否涉嫌受贿？希望纪委及上级部门能够一查到底	1.0
51	敏感舆情	拔枪一时爽，报告写到手抽筋，这不仅拔了，还打了七发，死了人，舆论是向着警察，但如果上面领导保他，他还是会非常难受。辛苦	1.0
52	敏感舆情	新一轮的设计稿和建模大比拼又来了，孙策这个直接是一比一还原啊	0.0
53	敏感舆情	虽说是大牌奢侈品吧但是真的丑	0.0
54	敏感舆情	这几名日本兵年龄不大，有的甚至还没有成年。三家子村的村民见他们可怜，心生怜悯，暂且收留了他们，给他们吃喝。结果，这几名日军一住就是一个月。	0.0
55	敏感舆情	当地市场监督管理部门回应，此举“合情不合法”，是为了保证餐品供应，但这样的说法，显然站不住脚：难道为了供餐，就可以无证上岗？	1.0
56	敏感舆情	温州查获跨境赌博犯罪集团：首犯周焯华被批捕，发展赌客8万人	1.0
57	敏感舆情	责任最大的应该是负责招标的教育局吧！不要什么都找人背锅	1.0
58	敏感舆情	感觉你语言表达能力有点问题，舆论向着警察，领导又保，他为什么会难受，制服了一个危险暴力分子，这是好事啊	1.0
59	敏感舆情	1945年8月15日，日本宣布投降后，在齐齐哈尔有几名落单的日本兵，见大势已去，担心被俘，于是在附近的村庄东躲西藏，一路流窜到了嫩江东岸的三家子村。	0.0
60	敏感舆情	况且，精液里含有很多先天元气，搞多了容易虚掉。	0.0
61	敏感舆情	涉事公司肯定要抓，背后有没有贪腐也要查	1.0
62	敏感舆情	我要是换命，不打我头，按照警用手枪威力，这个距离我拿长武器死之前大概率能把警察大哥捅个对穿，所以当时情况还是很紧急的，什么脑子会拿武器冲向拿手枪的民警的	1.0
63	敏感舆情	电子驾驶证12月10日起全国全面推行	1.0
64	敏感舆情	在北京冬残奥会冬季两项男子6公里（坐姿组）比赛中，中国队摘金夺铜！刘子旭夺得金牌，刘梦涛摘得铜牌。好样的！ ​	0.0
65	敏感舆情	类似的食品安全和监督过程，应该选家长代表参与，而且应该日常有全程的家长志愿者监督	1.0
66	敏感舆情	暴力抗法、袭警、击毙、为民除害、大快人心！别拉下那个造谣生事的恶妇。	1.0
67	敏感舆情	河南学生呕吐事件涉事公司 2 人被刑拘	1.0
68	敏感舆情	你看就比如今天老宋 你看他们打说实话也没什么大问题 但是因为他们是三点场人都没醒 所以寄了	0.0
69	敏感舆情	呼吁彻查事件背后有无贪腐问题	1.0
70	敏感舆情	北京冬残奥会的第一个比赛日，中国代表团就在上午高山滑雪和冬季两项的比赛中收获了6枚奖牌，刘子旭拿到了中国队北京冬残奥首枚金牌	0.0
71	敏感舆情	还能说什么呢，不懂法的社会底层村民的无知悲哀与可笑吧	1.0
72	敏感舆情	因为看不到，只能用手不断摸索，持续了一分多钟可就是插不进去。	0.0
73	敏感舆情	前几天跟朋友说：雪容融的比例好像有点问题？	0.0
74	敏感舆情	送餐公司则透露“戚城中学校长王校长和之前的供餐公司签订了一份 20 年的供应合同，违约则要承担违约金”暗指校长与之前供餐公司存在利益瓜葛	1.0
75	敏感舆情	被查的人好多都是副级的，不知道是真的他们主导还是被拉出来顶包的	1.0
76	敏感舆情	如果不是该校校长一个大男人在镜头前的眼泪，当地政府能‘高度重视’到什么程度？好像什么事扣上这个帽子，相关部门不管是否作为都已经大功告成	1.0
77	敏感舆情	其实不然，拉一次肚子的营养成分，远高于一杯“豆浆”。精液不仅有精，还有气啊，身体的气是不断流通的。你射出来的精子有很强的能量，还要赶着去“投胎”！	0.0
78	敏感舆情	关于三孩政策背景下如何提高生育意愿，全国政协委员、首都医科大学附属北京天坛医院神经外科主任医师张俊廷十分关切。	0.0
79	敏感舆情	为何要用杀伤影武器？ 不能用电击枪吗 好歹留个活口	1.0
80	敏感舆情	两个副局长能做这么大的盘子吗？我是不信的	1.0
81	敏感舆情	千万不要小看女孩的决（直）心（觉）	0.0
82	敏感舆情	历史人物的灵魂到底有多有趣	0.0
83	敏感舆情	不可以瞄准非要害部位吗？ 一枪致命那不是冲着要命去的么。	1.0
84	敏感舆情	监狱脱逃罪犯朱贤健被吉林警方抓获	1.0
85	敏感舆情	哎呀，我的手机好卡呀，S22好像还是出问题了，好奇就自己搜搜，但我还是要买，苹果狗都不用，考虑了一下但还是买三星吧，确实，除了我全是苹果。	0.0
86	敏感舆情	男子拒付车费称认识交警支队长wangwei	1.0
87	敏感舆情	“涉事公司边供餐、边整改、边办证，这合情但不合法”是缺少基本的政策法规意识和常识的胡话。	1.0
88	敏感舆情	浙江宁波警方近日侦破一个非法获取、倒卖快递面单信息的犯罪团伙	1.0
89	敏感舆情	成立调查组调查，涉事送餐公司停供、4 人被立案调查。	1.0
90	敏感舆情	我是央企采购部门的，连基本的证照都不齐全，别说中标了，投标资格都不够还能入围，这里面没有人为干预我以后名字倒着写	1.0
91	敏感舆情	若仅党内警告，不足以平民愤！呼吁判刑	1.0
92	敏感舆情	6日，北京冬残奥会残奥高山滑雪男子超级大回转-站姿比赛中，中国小将梁景怡以1分09秒11的成绩摘得金牌。	0.0
93	敏感舆情	山东女子控诉遭家暴后瘫痪警方不立案	1.0
94	敏感舆情	国代表团在上一届平昌冬残奥会才拿到了第一枚金牌，实现奖牌零的突破。北京冬残奥会第2天上午已经4金4银4铜	0.0
95	敏感舆情	外卖员在顾客麻辣烫中小便被拘14天	1.0
96	敏感舆情	在食品卫生安全这一方面，法律并不完善，真的是处罚太轻、犯罪成本太低，已经类似于鼓励犯罪了	1.0
97	敏感舆情	KPL春季正在进行时～希望我喜欢的成都AG超玩会可以取得好成绩	0.0
98	敏感舆情	这种为虎作伥倒卖信息的，根据造成的危害重判吧	1.0
99	敏感舆情	全国政协委员、演员成龙表示，身处乡村的观众们看电影的门槛比城市观众更高，没有离家较近的电影院是最主要的原因。	0.0
100	敏感舆情	UZI不上场是因为BLG觉得UZI热度超出预期，想签更多但UZI不愿意。BLG故意卡着不让上作为要挟只能拖着了。	0.0
101	敏感舆情	这校长就算良心了，哪像我们学校，国家补助的营养餐根本没看见，天天跟猪食一样，胡辣汤里全是海带，鸡肉炖土豆块基本上都是土豆块	1.0
102	敏感舆情	香港暴乱那么凶，警察也没有开枪啊	1.0
103	敏感舆情	两起商标纠纷引关注 舆论质疑“滥诉敛财”	1.0
104	敏感舆情	白象企业的领头人是一名退伍军人，拒绝日资入股，独立支撑，除此外还帮扶残疾人，企业三分之一的员工均为残疾人，让他们享受和正常人一样的待遇	0.0
105	敏感舆情	以这个罪名抓了送餐公司的负责人仅仅针对的是这次餐品的质量问题。这不应该是事件的调查结束	1.0
106	敏感舆情	国安女警拿下潜伏10年间谍	1.0
107	敏感舆情	原来原神的玩家比策划更阴间！这些地图一个比一个离谱！	0.0
108	敏感舆情	好的 谢谢 你还是去耕田吧	0.0
109	敏感舆情	网友：想评论祝贺的我快跟不上中国队夺牌的速度了	0.0
110	敏感舆情	宁狮狮微博回应，大致意思是“之前乌兹虽然舆论不好，但还有训练赛打，只要上场打得好舆论一定会反转，但现在情况不一样了，训练赛都没得打”	0.0
111	敏感舆情	质疑“相关部门懒政”“副局长、送餐负责人为教育局挡箭牌”“官方未回应舆论关切”等负面声音。舆论对此质疑相关部门负责人回应既有违法律常识也不负责任。	1.0
112	敏感舆情	北京冬残奥会高山滑雪女子滑降（视力障碍组）比赛中，朱大庆为中国队摘得首枚奖牌！	0.0
113	敏感舆情	有点扯,国外的法，来指导我们的法	1.0
114	敏感舆情	应急举措失当。集体食物中毒一旦发生，最基本的措施应该是立即对配送食物留样送交有资质部门化验，确定是否有卫生质量问题。同时立即停止相关餐饮企业食物的配送，直至化验结果出来再作进一步处理	1.0
115	敏感舆情	封丘县政府有人说话不负责任，信口开河	1.0
116	敏感舆情	传下去 赵立坚要送冰墩墩了	0.0
117	敏感舆情	警方在海滩礁石上发现鹿道森手机	1.0
118	敏感舆情	那一年我很单纯，不知道他是啥	0.0
119	敏感舆情	今日积分榜，EDG真是把前几名都输了个遍，后面的赛程要加油了	0.0
120	敏感舆情	这种树建议在多省份作为绿化植被推广	0.0
121	敏感舆情	2018年认识的浪胃仙，两个人一起经过了风风雨雨，但是一个人的出现彻底结束了这段来之不易的感情	0.0
122	敏感舆情	这样都不值得微博设个一个奖牌榜吗？？	0.0
123	敏感舆情	据媒体报道，11 月 23 日，河南封丘县戚城中学 30 多名学生吃过营养餐后呕吐腹泻，疑似食物中毒。校长含泪表示送餐公司是教育局招标来的，换不动。	1.0
124	敏感舆情	这才说明了，这些款式并不好看，只是牌子大而已。如果好看，早就求链接了。	0.0
125	敏感舆情	体育精神的魅力在于你明知它困难重重，但仍无所畏惧，勇往直前！	0.0
126	敏感舆情	乌克兰总统已离乌，目前身处波兰。这个演员，没有什么不可能，这件事情不论真假，这个行为值得思考，他们的目的是什么？	0.0
127	敏感舆情	今天，北京冬残奥会赛场，中国队截至目前又获得了2金1银2铜	0.0
128	敏感舆情	村民袭警被击倒身亡执法记录仪曝光	1.0
129	敏感舆情	该整治了，每次拆完快递还要把个人信息搞掉	1.0
130	敏感舆情	最近看的影视剧中，感觉《白日焰火》里面那场比较接合实际。实际给警察的时间真的不多	0.0
131	敏感舆情	和雪容融一起，为冬残奥会喝彩，为运动员加油！ ​	0.0
132	敏感舆情	有媒体报道，朱某甜在公园山上被找到，已去世。	1.0
